날짜,종목코드,종목명,업종명,시장구분,시가,고가,저가,종가,거래량,시가총액
2025-03-14,002350,넥센타이어,화학,KOSPI,5300,5360,5270,5360,111689,523499820720
2025-03-14,002355,넥센타이어1우B,화학,KOSPI,2805,2890,2790,2850,3050,18655000000
2025-03-14,092790,넥스틸,금속,KOSPI,16450,17200,15960,16760,4601934,435793520000
2025-03-14,251270,넷마블,IT 서비스,KOSPI,40450,41000,39950,40100,122539,3446735430200
2025-03-14,090350,노루페인트,화학,KOSPI,7550,7700,7550,7690,28403,153800000000
2025-03-14,090355,노루페인트우,화학,KOSPI,12050,12270,12000,12270,532,5682556020
2025-03-14,000320,노루홀딩스,기타금융,KOSPI,13960,14190,13850,14030,9970,186474848530
2025-03-14,000325,노루홀딩스우,기타금융,KOSPI,28000,28100,27600,28000,92,6819652000
2025-03-14,006280,녹십자,제약,KOSPI,125900,131100,125900,128500,50608,1501720133000
2025-03-14,005250,녹십자홀딩스,일반서비스,KOSPI,13730,13990,13640,13900,51204,653692119000
2025-03-14,005257,녹십자홀딩스2우,일반서비스,KOSPI,21900,21900,21600,21600,503,18273384000
2025-03-14,004370,농심,음식료·담배,KOSPI,382500,384500,375500,383000,27607,2329651886000
2025-03-14,072710,농심홀딩스,기타금융,KOSPI,65000,65700,64500,65500,6523,303775245000
2025-03-14,058730,다스코,금속,KOSPI,3015,3050,3005,3030,28883,56954731230
2025-03-14,030210,다올투자증권,증권,KOSPI,3085,3090,3005,3035,162081,184865206710
2025-03-14,023590,다우기술,IT 서비스,KOSPI,21500,21800,21400,21550,55235,966875596350
2025-03-14,145210,다이나믹디자인,기계·장비,KOSPI,808,924,808,912,606521,31538498544
2025-03-14,019680,대교,일반서비스,KOSPI,2170,2180,2145,2165,21179,183381670250
2025-03-14,019685,대교우B,일반서비스,KOSPI,1260,1294,1260,1282,15548,24905401180
2025-03-14,006370,대구백화점,유통,KOSPI,9480,9480,7500,7850,429490,84949646350
2025-03-14,008060,대덕,기타금융,KOSPI,7080,7140,7070,7130,59751,241636769500
2025-03-14,00806K,대덕1우,기타금융,KOSPI,7320,7380,7260,7280,530,8825958960
2025-03-14,353200,대덕전자,전기·전자,KOSPI,17390,18200,17390,18130,319046,895928850250
2025-03-14,35320K,대덕전자1우,전기·전자,KOSPI,7970,8060,7870,8060,2206,16889883140
2025-03-14,000490,대동,기계·장비,KOSPI,12300,12360,12020,12200,232054,312817613600
2025-03-14,008110,대동전자,전기·전자,KOSPI,0,0,0,15040,0,157776322880
2025-03-14,005750,대림B&Co,비금속,KOSPI,3990,4065,3925,3955,32790,65938709200
2025-03-14,006570,대림통상,금속,KOSPI,2475,2500,2450,2475,1549,37681875000
2025-03-14,001680,대상,음식료·담배,KOSPI,24500,24700,24250,24400,73505,845411810000
2025-03-14,001685,대상우,음식료·담배,KOSPI,17440,17550,17270,17510,4090,23992604730
2025-03-14,084690,대상홀딩스,기타금융,KOSPI,11430,11940,11430,11750,364809,425497321500
2025-03-14,084695,대상홀딩스우,기타금융,KOSPI,21450,23000,21450,22750,13475,20781715500
2025-03-14,128820,대성산업,유통,KOSPI,3050,3115,3030,3080,281716,139325272240
2025-03-14,117580,대성에너지,전기·가스,KOSPI,7960,7960,7810,7860,26677,216150000000
2025-03-14,016710,대성홀딩스,일반서비스,KOSPI,7020,7100,7000,7000,6384,112626213000
2025-03-14,003540,대신증권,증권,KOSPI,16880,17020,16860,16940,63502,860101396000
