종목코드,종목명,업종,RS,RS_1M,RS_2M,RS_3M,MTT,시가총액,테마명
211050,인카금융서비스,손해보험,90,95,90,68,97,338079084000,2022 상반기 신규상장
050890,쏠리드,통신장비,90,41,87,91,0,439885663200,"제4이동통신,통신장비,5G(5세대 이동통신)"
376300,디어유,양방향미디어와서비스,90,27,89,76,0,949536240000,"엔터테인먼트,K-뉴딜지수(인터넷),메타버스(Metaverse),2021 하반기 신규상장"
078600,대주전자재료,전자장비와기기,90,28,49,84,0,1572828248800,"2차전지(전고체),2차전지(소재/부품),태양광에너지,MLCC(적층세라믹콘덴서),2차전지"
007110,일신석재,건축자재,90,16,10,58,0,151660042380,"남북경협,DMZ 평화공원"
047050,포스코인터내셔널,무역회사와판매업체,90,97,95,94,97,10379444492000,"자원개발,니켈,셰일가스(Shale Gas),리비안(RIVIAN),종합상사"
070960,모나용평,호텔/레스토랑/레저,90,21,89,84,0,187719998700,"DMZ 평화공원,골프"
900310,컬러레이,화장품,90,78,85,94,0,54115215375,"화장품,국내 상장 중국기업"
002870,신풍,포장재,90,77,55,25,0,45656062200,제지
084370,유진테크,반도체와반도체장비,90,57,92,90,0,1031221890000,"반도체 장비,3D 낸드(NAND)"
286750,나노브릭,화학,90,74,63,91,0,55182278835,"코로나19(진단키트),보안주(정보),2019 하반기 신규상장,코로나19(진단/치료제/백신 개발 등)"
402340,SK스퀘어,반도체와반도체장비,90,50,82,85,0,13515063267200,"모바일콘텐츠(스마트폰/태블릿PC),RFID(NFC 등)"
036620,감성코퍼레이션,섬유/의류/신발/호화품,90,95,90,88,0,348864125290,"가상화폐(비트코인 등),패션/의류"
